General : Start date,11/21/2024 9:54,
General : End date,11/21/2024 9:55,
Specimen Notes:,"Black, 215, Print 4, Object 2, Seq 35",
Test : Rate 1,8,mm/min
,,
Time,Extension,Load
(s),(mm),(N)
51.4,6.85354,222.14728
51.5,6.8669,222.32912
51.6,6.88035,222.68335
51.7,6.89361,222.54543
51.8,6.90699,222.75624
51.9,6.92029,222.3111
52,6.93365,222.64417
52.1,6.947,223.80173
52.2,6.96031,223.47728
52.3,6.97361,223.60501
52.4,6.98692,223.34012
52.5,7.00027,223.48668
52.6,7.01355,223.326
52.7,7.02685,223.3268
52.8,7.04026,223.91772
52.9,7.05362,224.26178
53,7.0669,224.20537
53.1,7.0802,224.19595
53.2,7.09358,224.88718
53.3,7.10696,224.58937
53.4,7.12029,224.90443
53.5,7.13357,224.76727
53.6,7.14688,224.23199
53.7,7.16026,224.08231
53.8,7.17369,225.14975
53.9,7.18699,225.13094
54,7.2003,225.22812
54.1,7.21357,225.80573
54.2,7.22693,225.32372
54.3,7.24031,226.02596
54.4,7.25369,224.48436
54.5,7.26705,225.41309
54.6,7.28038,226.02751
54.7,7.29366,226.13487
54.8,7.30691,225.38251
54.9,7.32019,225.51888
55,7.33357,226.21169
55.1,7.3469,226.16231
55.2,7.36028,225.07999
55.3,7.37361,226.53693
55.4,7.38699,226.00871
55.5,7.40027,225.25319
55.6,7.4135,227.12787
55.7,7.4268,226.61374
55.8,7.44023,227.20232
55.9,7.45356,226.73599
56,7.46692,227.09807
56.1,7.48027,227.07693
56.2,7.49366,226.25871
56.3,7.50699,227.56047
56.4,7.52039,227.65454
56.5,7.53367,227.09496
56.6,7.547,227.06438
56.7,7.56036,226.93663
56.8,7.57361,227.73367
56.9,7.58686,227.27913
57,7.60019,227.05183
57.1,7.61352,227.44212
57.2,7.62683,228.19138
57.3,7.64013,227.37317
57.4,7.65349,229.30896
57.5,7.66689,227.51894
57.6,7.6803,226.8755
57.7,7.6936,227.46252
57.8,7.70696,228.53308
57.9,7.72029,227.74231
58,7.7337,227.18585
58.1,7.747,227.72742
58.2,7.76036,228.59422
58.3,7.77363,227.9445
58.4,7.78699,227.01265
58.5,7.80029,227.53775
58.6,7.81357,228.68906
58.7,7.82688,227.82146
58.8,7.84026,227.09886
58.9,7.85356,227.66862
59,7.86682,228.00877
59.1,7.88017,227.92725
59.2,7.89353,226.7415
59.3,7.90693,227.69373
59.4,7.92024,226.82768
59.5,7.93354,227.43587
59.6,7.9469,228.48763
59.7,7.96035,228.42023
59.8,7.97368,227.23132
59.9,7.98701,227.7086
60,8.00032,228.29405
60.1,8.01365,227.58321
60.2,8.02698,227.13962
60.3,8.04036,227.63728
60.4,8.05369,227.98683
60.5,8.06702,227.7094
60.6,8.08033,226.89903
60.7,8.09355,227.30185
60.8,8.10683,227.62082
60.9,8.12014,227.05107
61,8.13352,225.90761
61.1,8.14687,227.21956
61.2,8.16028,226.94762
61.3,8.17366,227.3136
61.4,8.18696,227.71957
61.5,8.20027,226.74541
61.6,8.21352,226.94762
61.7,8.22693,226.69055
61.8,8.24031,227.38806
61.9,8.25364,226.25479
62,8.26697,224.8143
62.1,8.2803,225.4938
62.2,8.29365,225.8253
62.3,8.30698,224.92245
62.4,8.32031,224.44203
62.5,8.33359,225.56982
62.6,8.34692,225.43971
62.7,8.36025,224.97731
62.8,8.37351,224.05019
62.9,8.38681,224.28529
63,8.40019,224.50003
63.1,8.41355,223.97493
63.2,8.42685,222.3064
63.3,8.44021,222.85579
63.4,8.45356,222.13005
63.474,8.46347,222.21469
