General : Start date,11/19/2024 10:20,
General : End date,11/19/2024 10:21,
Specimen Notes:,"Blue, 230, Print 6, Object 2, Seq 4",
Test : Rate 1,8,mm/min
,,
Time,Extension,Load
(s),(mm),(N)
54.2,7.2269,202.54208
54.3,7.24023,204.46455
54.4,7.25362,203.77722
54.5,7.26697,204.3423
54.6,7.28035,203.89008
54.7,7.29366,203.88852
54.8,7.30693,204.00452
54.9,7.32026,204.35248
55,7.33362,204.17535
55.1,7.34692,204.57898
55.2,7.36023,203.86501
55.3,7.37361,204.15733
55.4,7.38699,203.5946
55.5,7.40024,204.12756
55.6,7.41352,204.39871
55.7,7.42688,204.53273
55.8,7.44026,204.08994
55.9,7.45359,204.70752
56,7.46694,204.01782
56.1,7.48025,205.3102
56.2,7.49363,204.03194
56.3,7.50699,204.83212
56.4,7.52032,204.27098
56.5,7.53362,204.83525
56.6,7.54698,203.69572
56.7,7.56033,205.40033
56.8,7.57361,205.37602
56.9,7.58691,205.3486
57,7.60022,204.1636
57.1,7.6136,205.67148
57.2,7.6269,204.48572
57.3,7.64018,205.40895
57.4,7.65354,205.0155
57.5,7.66689,204.24823
57.6,7.68025,204.79686
57.7,7.69358,204.58603
57.8,7.70691,205.55862
57.9,7.72031,204.85251
58,7.73367,205.242
58.1,7.74695,204.87209
58.2,7.76028,205.44814
58.3,7.77363,204.43948
58.4,7.78699,203.85718
58.5,7.80027,205.11269
58.6,7.81355,204.38696
58.7,7.82688,204.46455
58.8,7.84029,204.52962
58.9,7.85364,204.4489
59,7.86692,203.71611
59.1,7.8802,204.63226
59.2,7.89353,203.07893
59.3,7.90693,204.03978
59.4,7.92021,203.33208
59.5,7.93354,202.85008
59.6,7.9469,202.88614
59.7,7.96033,202.78189
59.8,7.97366,202.70667
59.9,7.98699,201.19641
60,8.00035,202.42609
60.1,8.01363,201.23169
60.2,8.02693,201.87434
60.3,8.04026,200.98402
60.4,8.05361,202.14473
60.5,8.06695,200.75911
60.6,8.08027,201.00598
60.7,8.09358,199.3233
60.8,8.10688,199.34448
60.9,8.12021,199.15402
61,8.13357,199.81235
61.1,8.14687,199.52238
61.2,8.16023,199.4252
61.3,8.17366,197.31464
61.4,8.18699,197.12338
61.5,8.20027,197.47293
61.526,8.20367,197.08344
